AgeBand,Gender,City,Account Type,Account Balance,Date Of Account Opening,Last Transaction Date,Transaction Amount,Account Balance After Transaction,Loan Amount,Loan Type,Interest Rate,Loan Term,Loan Status,Card Type,Credit Limit,Credit Card Balance
25-34,Female,New York,Savings,7501.74,7/17/2009,10/30/2023,1588.59,5913.15,20866.44,Personal,9.92,48,Rejected,AMEX,8216.62,527.51
35-44,Male,Mesa,Savings,4583,02/11/2020,12/13/2023,1012.86,5595.86,49909.18,Mortgage,3.08,36,Rejected,MasterCard,9313.17,2128.26
55-64,Female,Nashville,Savings,4599.46,10/04/2016,10/04/2023,1170.15,5769.61,18520.8,Auto,1.14,24,Approved,AMEX,3075.82,190.61
65+,Male,Atlanta,Savings,9959.69,02/06/2022,1/31/2023,4951.69,14911.38,14592.57,Personal,5.5,48,Approved,AMEX,3895.3,4716.75
25-34,Other,Las Vegas,Current,3799.72,6/19/2013,02/07/2023,2656.44,6456.16,42462.4,Auto,9.32,60,Approved,AMEX,7657.6,2925.25
65+,Female,Boston,Current,1031.4,5/29/2020,02/08/2023,71.14,1102.54,43528.96,Auto,3.24,48,Rejected,Visa,4900.65,2837.64
55-64,Male,San Antonio,Savings,5431.76,04/11/2020,6/13/2023,231.02,5200.74,17604.59,Mortgage,7.8,24,Approved,AMEX,8291.94,2230.04
18-24,Female,San Francisco,Savings,8860.06,12/25/2002,12/22/2023,2299.24,6560.82,15634.98,Personal,3.88,12,Approved,Visa,3866.07,1689.29
45-54,Male,Memphis,Savings,5886.75,10/12/2018,9/24/2023,2222.97,3663.78,32716.79,Mortgage,4.52,12,Closed,Visa,5748.09,2421.45
25-34,Other,Baltimore,Current,7951.57,9/29/2010,03/10/2023,2033.74,9985.31,11053.75,Auto,9.53,12,Rejected,AMEX,8505.91,2587.65
65+,Other,San Antonio,Savings,643.16,9/23/2016,10/17/2023,4119.78,4762.94,24700.58,Personal,5.15,60,Rejected,MasterCard,4149.29,3478.89
18-24,Other,Tucson,Current,6766.61,01/01/2005,8/17/2023,3518.75,3247.86,7925.84,Mortgage,7.53,12,Rejected,MasterCard,6771.04,826.25
45-54,Female,San Antonio,Savings,884.02,3/21/2019,9/18/2023,546.01,1430.03,15932.98,Auto,5.95,36,Rejected,AMEX,6816.02,2876.14
45-54,Other,Las Vegas,Savings,5607.93,10/15/2013,1/20/2023,1819.77,3788.16,15576.59,Personal,7.88,36,Closed,MasterCard,4167.36,2895.65
35-44,Female,Austin,Current,5027.9,11/04/2014,03/04/2023,2987.43,2040.47,35050.1,Mortgage,3.86,12,Closed,AMEX,7692.29,1834.95
35-44,Other,Dallas,Current,9461.48,2/24/2002,10/28/2023,1918.62,11380.1,14831.38,Personal,8.89,12,Closed,AMEX,5756.9,4821.45
25-34,Female,Fort Worth,Current,1411.4,10/06/2018,6/19/2023,1049.44,361.96,45026.29,Personal,5.94,24,Closed,AMEX,6346.33,3725.51
45-54,Other,Sacramento,Current,193.96,10/11/2010,1/13/2023,3143.98,-2950.02,49169.26,Mortgage,3.78,36,Approved,MasterCard,4514.98,3553.84
18-24,Male,Houston,Savings,1459.81,5/16/2008,5/17/2023,3015.22,4475.03,4972.02,Auto,1.34,24,Approved,MasterCard,1809.62,4365.64
55-64,Male,Mesa,Current,1789.99,07/06/2015,08/12/2023,4873.3,-3083.31,20484.73,Mortgage,1.12,24,Closed,AMEX,7285.15,1694.55
45-54,Female,Louisville,Current,2584.02,01/10/2010,04/04/2023,2809.74,-225.72,15790.21,Mortgage,4.18,12,Approved,AMEX,4087.24,1063.35
45-54,Other,San Jose,Current,8169.38,06/02/2018,6/26/2023,4372.74,3796.64,18247.52,Personal,2.94,24,Rejected,MasterCard,6476.25,2191.43
35-44,Other,El Paso,Savings,3831.12,04/12/2013,12/14/2023,4746.49,8577.61,14002.39,Mortgage,1.47,12,Approved,AMEX,9170.78,2987.74
55-64,Male,Denver,Current,8423.5,10/19/2015,12/23/2023,2179.57,10603.07,19750.58,Personal,5.98,12,Approved,Visa,8514.73,2788
65+,Other,Atlanta,Savings,2792.15,07/02/2021,06/05/2023,273.94,3066.09,7929.32,Auto,9.9,48,Approved,Visa,6663.31,1102.03
35-44,Other,Colorado Springs,Savings,8619.36,6/22/2022,05/01/2023,726.04,7893.32,14711.1,Personal,4.8,36,Approved,MasterCard,3047.11,1343.47
18-24,Female,Las Vegas,Current,180.1,11/25/2016,6/20/2023,2524.81,2704.91,37643.08,Mortgage,5.97,60,Closed,Visa,5646.98,4628.69
35-44,Male,Indianapolis,Savings,9351.9,03/12/2022,7/17/2023,4465.86,4886.04,17858.28,Mortgage,2.98,36,Approved,MasterCard,4373.69,405.51
18-24,Other,Tucson,Current,7485.89,11/29/2002,6/18/2023,3274.12,10760.01,11183.91,Mortgage,2.84,60,Approved,Visa,6319.51,2520.25
45-54,Other,Fort Worth,Savings,4186.03,07/04/2002,6/21/2023,1015.39,3170.64,6313.76,Auto,3.96,48,Rejected,MasterCard,7582.01,2373.34
25-34,Female,Fresno,Savings,5815.62,8/18/2004,06/06/2023,3508.21,9323.83,18052.2,Mortgage,8.52,48,Closed,Visa,7536.36,1916.85
35-44,Female,San Antonio,Current,9336.87,12/24/2016,11/20/2023,4472.15,13809.02,32527.05,Mortgage,9.65,36,Rejected,MasterCard,1512.66,3918.05
35-44,Female,Austin,Current,5867.35,3/24/2008,7/29/2023,160.83,5706.52,13411.94,Personal,7.66,48,Approved,Visa,4355.01,4612.91
65+,Female,Milwaukee,Savings,2362.83,12/21/2013,10/08/2023,1221.63,3584.46,21699.84,Mortgage,1.19,48,Approved,AMEX,4510.45,4986.37
55-64,Other,Memphis,Current,5771.45,4/24/2009,7/15/2023,774.37,6545.82,47667.53,Personal,4.95,12,Rejected,MasterCard,2685.39,613.7
55-64,Other,San Jose,Current,8727.33,10/15/2004,9/27/2023,3922.67,12650,28065.78,Auto,4.79,48,Rejected,AMEX,5380.02,214.28
18-24,Other,Milwaukee,Savings,9875.75,05/05/2020,07/06/2023,4458.47,14334.22,27064.99,Mortgage,9.42,24,Approved,MasterCard,3511.78,1376.5
35-44,Female,Los Angeles,Savings,5882.42,10/09/2003,03/03/2023,2777.24,3105.18,21087.22,Auto,7.71,48,Rejected,MasterCard,4126.54,3412.51
18-24,Other,Colorado Springs,Savings,1640.89,6/30/2021,5/25/2023,4242.53,-2601.64,28285.16,Mortgage,7.43,60,Approved,MasterCard,6153.34,2022.65
55-64,Male,Charlotte,Current,7740.35,6/24/2006,8/14/2023,3288.12,4452.23,49243.8,Mortgage,6.08,36,Approved,AMEX,8627.02,2329.53
25-34,Male,Austin,Savings,9969.42,03/09/2013,4/27/2023,3286.93,6682.49,13436.54,Mortgage,6.81,60,Closed,MasterCard,4854.94,4997.11
55-64,Other,Fresno,Current,4789,12/04/2002,7/25/2023,2902.74,1886.26,47154.47,Personal,7.29,12,Rejected,MasterCard,5861.01,2456.68
55-64,Female,Colorado Springs,Savings,3898.95,12/03/2021,12/22/2023,259.59,3639.36,8304.48,Personal,5.97,48,Closed,MasterCard,8157.08,4576.73
65+,Male,Houston,Current,5569.76,08/06/2006,03/07/2023,4685.52,10255.28,6444.16,Personal,8.6,24,Approved,Visa,4867.49,2058.35
35-44,Other,Austin,Current,1731.19,11/27/2018,10/28/2023,1785.3,3516.49,33078.81,Mortgage,1.33,12,Closed,AMEX,4475.64,2200.76
25-34,Male,Memphis,Savings,9715.71,04/12/2015,11/23/2023,4014.86,5700.85,13307.77,Mortgage,9.47,36,Closed,MasterCard,6993.33,3857.36
35-44,Male,Los Angeles,Savings,8399.51,3/26/2011,1/28/2023,4051.82,12451.33,22775.22,Mortgage,7.96,48,Approved,AMEX,3437.91,4507.25
35-44,Male,Indianapolis,Current,1218.61,9/22/2014,11/11/2023,4829.15,6047.76,36753.08,Personal,5.76,36,Approved,AMEX,1256.36,4064.69
45-54,Male,Colorado Springs,Savings,9456.31,1/22/2017,9/21/2023,1640.23,11096.54,27207.23,Personal,8.74,12,Closed,Visa,2209.7,2357.23
45-54,Other,San Jose,Savings,9433.91,09/11/2012,08/09/2023,4987.02,4446.89,1673.72,Auto,8.45,24,Closed,AMEX,3479.44,3490.18
55-64,Male,Atlanta,Current,3231.91,01/01/2015,01/10/2023,1509.87,1722.04,15986.32,Personal,4.77,36,Rejected,Visa,8283.82,1318.87
45-54,Other,San Francisco,Current,6229.51,11/24/2013,10/04/2023,2262.34,8491.85,4169.65,Auto,8.56,48,Closed,AMEX,2894.62,385.92
55-64,Male,Nashville,Savings,1196.47,01/03/2001,10/18/2023,3534.19,-2337.72,46379.61,Auto,2.7,60,Rejected,Visa,6586.05,790.09
35-44,Male,Denver,Savings,933.49,1/13/2014,01/04/2023,783.39,1716.88,39937.78,Personal,5.22,60,Closed,Visa,3783.95,120.35
35-44,Male,San Antonio,Savings,5067.77,1/26/2013,6/30/2023,1339.2,6406.97,49208.24,Mortgage,3.09,36,Rejected,AMEX,1529.45,2222.57
25-34,Other,Kansas City,Savings,591.81,8/30/2006,3/26/2023,3643.29,-3051.48,44370.37,Personal,2.12,24,Closed,AMEX,8489.28,3278.29
55-64,Male,San Diego,Savings,8761.43,1/30/2013,1/25/2023,4872.18,13633.61,24291.27,Auto,9.05,12,Approved,MasterCard,9401.57,167.13
55-64,Male,San Jose,Current,9288.14,1/30/2001,1/20/2023,3666.67,5621.47,44247.28,Mortgage,4.3,48,Approved,Visa,2496.41,259.08
18-24,Female,Atlanta,Savings,766.33,6/23/2001,7/18/2023,4312.87,-3546.54,33949.49,Personal,7.16,36,Closed,AMEX,5587.79,2604.08
35-44,Male,Los Angeles,Current,568.12,4/21/2007,7/18/2023,197.06,765.18,26705.38,Mortgage,4.38,48,Closed,MasterCard,3590.78,4697.89
35-44,Female,Austin,Savings,2292.04,3/16/2003,04/06/2023,2889.36,5181.4,19161.66,Auto,5.9,24,Closed,AMEX,5948.94,706.91
25-34,Other,Las Vegas,Savings,9306.59,7/31/2003,04/06/2023,4571.32,4735.27,34367.34,Personal,4.13,60,Approved,Visa,7321.96,3392.53
25-34,Male,Philadelphia,Savings,7713.24,06/06/2018,10/05/2023,3415.16,4298.08,29916.54,Mortgage,7.68,12,Closed,MasterCard,9860.94,3272.27
55-64,Male,Detroit,Current,6797.33,1/23/2010,2/18/2023,3385.55,10182.88,31095.06,Auto,8.08,60,Approved,AMEX,4135.25,1529.74
55-64,Female,San Antonio,Savings,7785.84,03/10/2004,3/30/2023,1023.17,6762.67,20591.74,Personal,4.87,12,Closed,MasterCard,3290.08,379.47
45-54,Female,Colorado Springs,Current,2074.82,02/06/2004,01/06/2023,4307.09,6381.91,37226.44,Personal,8.74,60,Closed,AMEX,7014.85,3045.93
25-34,Male,Denver,Current,2640.22,06/10/2010,5/26/2023,4326.58,6966.8,4985.8,Mortgage,4.2,36,Closed,AMEX,8587.19,2216.28
65+,Other,Philadelphia,Savings,3244.52,7/20/2007,01/12/2023,3073.9,170.62,36581.79,Mortgage,7.86,24,Approved,Visa,1251.09,1559.79
45-54,Female,Memphis,Savings,6090.15,10/15/2012,1/28/2023,2138.82,8228.97,36807.3,Mortgage,6.85,60,Rejected,MasterCard,1390.08,3900.56
35-44,Male,Colorado Springs,Savings,6121.38,09/09/2013,10/02/2023,4123.12,1998.26,26281.23,Personal,5.1,24,Closed,AMEX,6231.45,2024.65
35-44,Female,Los Angeles,Savings,2165.22,6/16/2005,02/12/2023,2330.33,4495.55,13900.87,Mortgage,9,60,Approved,AMEX,2174.01,3085.42
18-24,Other,Denver,Current,4423.6,06/05/2001,04/09/2023,4114.85,8538.45,26444.55,Mortgage,6.15,48,Closed,MasterCard,6662.18,1281.2
35-44,Female,Houston,Current,6931.2,2/23/2008,5/23/2023,2429.73,9360.93,7031.22,Mortgage,8.56,60,Approved,MasterCard,6093.49,391.53
55-64,Male,Philadelphia,Savings,3165.23,07/07/2020,10/19/2023,2903.17,6068.4,14972.04,Personal,7.6,12,Approved,MasterCard,8212.72,775.69
45-54,Female,Atlanta,Current,847.22,11/05/2020,04/07/2023,3742.63,4589.85,21643.69,Personal,5.79,48,Rejected,MasterCard,8175.18,1838.14
65+,Other,Louisville,Savings,2054.16,1/21/2016,3/26/2023,1332.32,721.84,33988.46,Auto,3.94,36,Closed,Visa,8492.02,3669.04
35-44,Male,Baltimore,Current,1730.88,04/04/2013,10/25/2023,1241.76,2972.64,10173.62,Personal,9.56,36,Closed,Visa,9408.31,2928.2
25-34,Male,San Antonio,Savings,6356.23,03/02/2003,04/01/2023,3342.53,9698.76,8750.37,Personal,1.51,36,Approved,Visa,6312.22,1881.02
65+,Male,Dallas,Savings,778.63,05/02/2021,10/28/2023,4770.03,-3991.4,30782.02,Mortgage,9.05,24,Closed,MasterCard,2303.07,2371.43
18-24,Male,Boston,Current,8859.02,10/15/2001,1/30/2023,2235.71,6623.31,34297.73,Mortgage,5.56,36,Rejected,Visa,9231.54,2908.31
18-24,Other,Tucson,Current,935.43,2/21/2007,10/22/2023,4492.03,5427.46,5099.13,Personal,7.74,60,Closed,AMEX,9968.85,846.06
18-24,Male,New York,Current,6019.31,05/06/2013,6/23/2023,2595.75,3423.56,2625,Personal,4.01,48,Approved,Visa,1346.18,1359.01
65+,Other,Philadelphia,Savings,9302.37,11/11/2022,07/05/2023,4869.92,14172.29,8210.34,Mortgage,4.46,12,Approved,AMEX,6418.03,1382.53
35-44,Other,Seattle,Current,717.99,6/15/2019,1/30/2023,3962.32,-3244.33,45150.31,Mortgage,2.72,36,Approved,AMEX,4367.88,515.22
45-54,Female,Jacksonville,Savings,3892.74,5/17/2000,09/08/2023,4299.19,-406.45,33959.29,Mortgage,9.59,12,Closed,Visa,3733.76,998.89
35-44,Female,Louisville,Savings,3346.66,6/16/2001,4/19/2023,3401.22,6747.88,46130.27,Auto,1.39,24,Approved,AMEX,7923.47,2796.43
25-34,Male,Austin,Savings,3507.67,3/27/2009,08/01/2023,4343.78,-836.11,33571.03,Mortgage,4.48,24,Approved,AMEX,3712.46,1131.56
55-64,Male,Tucson,Savings,6043.08,10/31/2018,08/06/2023,2968.06,3075.02,48296.62,Auto,4.01,12,Closed,Visa,2347.08,2909.99
45-54,Other,New York,Current,2694.82,08/11/2008,12/10/2023,2841.01,5535.83,22506.43,Personal,8.32,60,Closed,AMEX,3183.69,120.08
55-64,Female,San Jose,Savings,370.5,04/11/2018,07/01/2023,4369.82,-3999.32,30355.85,Mortgage,5.51,12,Approved,Visa,5836.36,869.04
18-24,Male,Atlanta,Savings,9626.52,5/13/2006,12/08/2023,85.18,9541.34,30458.09,Auto,2.52,48,Approved,MasterCard,3287.64,3057.75
55-64,Male,Oklahoma City,Savings,7512.88,07/04/2016,02/06/2023,2399.11,5113.77,1153.86,Mortgage,5.58,36,Approved,MasterCard,4145.51,2922.09
55-64,Other,New York,Current,1437.76,5/27/2011,12/12/2023,4351.67,-2913.91,2345.27,Mortgage,3.12,60,Approved,AMEX,6173.4,1378.44
25-34,Female,Chicago,Current,4606.05,3/21/2003,5/30/2023,988.79,5594.84,8118,Personal,1.15,12,Rejected,AMEX,7228.7,3116.28
35-44,Male,Seattle,Current,720.95,12/20/2001,04/07/2023,4790.47,-4069.52,26045.35,Auto,5.9,48,Rejected,AMEX,1630.36,829.57
55-64,Male,Columbus,Savings,375.78,10/11/2009,1/24/2023,3705.6,4081.38,22095.8,Auto,4.24,12,Approved,Visa,4703.32,4087.66
18-24,Male,Milwaukee,Current,570.37,12/27/2015,11/21/2023,3814.49,-3244.12,27447.7,Mortgage,3.15,36,Closed,MasterCard,7430.25,1251.65
45-54,Male,Portland,Current,7582.2,6/28/2000,12/10/2023,3330.73,4251.47,40224.05,Personal,2.55,24,Closed,MasterCard,3950.7,2336.54
55-64,Male,San Francisco,Savings,4504.75,12/27/2020,12/21/2023,2242.9,6747.65,41289.77,Personal,5.08,12,Rejected,MasterCard,7817.04,4736.61
35-44,Male,Memphis,Savings,8459.53,11/07/2004,05/02/2023,2310.17,10769.7,48873.73,Personal,8.83,48,Rejected,MasterCard,4082.07,2888.99
65+,Female,Mesa,Current,3121.63,01/08/2000,3/27/2023,4197.15,-1075.52,28319.84,Mortgage,7.82,12,Rejected,AMEX,7833.65,3761.37
25-34,Other,Atlanta,Current,7775.69,02/05/2017,06/10/2023,704.31,8480,18013.56,Personal,1.04,36,Closed,MasterCard,9602.15,3727.59
25-34,Other,Detroit,Savings,871.55,10/25/2015,1/17/2023,2615.12,-1743.57,16093.36,Personal,7.58,48,Rejected,MasterCard,5537.35,1906.93
45-54,Other,San Francisco,Current,6387.57,3/24/2011,09/01/2023,1556.64,7944.21,17696.34,Personal,1.65,24,Closed,AMEX,5344.8,500.83
18-24,Male,Washington,Savings,3669.96,11/27/2007,9/25/2023,4921.74,8591.7,16867.65,Auto,5.93,36,Closed,AMEX,5360.21,1702.76
45-54,Other,Boston,Savings,2839.58,8/29/2020,10/13/2023,28.43,2811.15,20253.08,Personal,8.02,12,Rejected,Visa,9571.27,168.94
25-34,Female,Los Angeles,Savings,8169.58,6/24/2018,08/06/2023,327.73,7841.85,4669.19,Personal,5.08,60,Approved,AMEX,2433.47,1320.95
35-44,Male,Washington,Savings,614.03,8/14/2021,01/06/2023,4837.27,5451.3,32038.19,Mortgage,4.39,12,Approved,MasterCard,7662.66,181.43
